restaurant,category,item,calories,protein,carbs,fat
Chick-fil-A,drink,Honest Kids® Apple Juice (170g),35.0,0.0,9.0,0.0
Chick-fil-A,drink,Simply Orange® (326g),160.0,2.0,34.0,0.0
Chick-fil-A,drink,1% Chocolate Milk (198g),140.0,7.0,23.0,2.0
Chick-fil-A,drink,1% Milk (213g),90.0,7.0,10.0,2.0
Chick-fil-A,drink,Coffee (340g),0.0,0.0,0.0,0.0
Chick-fil-A,drink,Seasonal Gallon Beverages (3941g),2080.0,2.0,522.0,0.0
Chick-fil-A,drink,"Gallon Cherry Berry Sunjoy® (1/2 Sweet Tea, 1/2 Lemonade) (3941g)",2080.0,2.0,522.0,0.0
Chick-fil-A,drink,"Gallon Cherry Berry Sunjoy® (1/2 Unsweet Tea, 1/2 Lemonade) (3941g)",1270.0,2.0,314.0,0.0
Chick-fil-A,drink,"Gallon Cherry Berry Sunjoy® (1/2 Sweet Tea, 1/2 Diet Lemonade) (3941g)",1310.0,2.0,331.0,1.0
Chick-fil-A,drink,"Gallon Cherry Berry Sunjoy® (1/2 Unsweet Tea, 1/2 Diet Lemonade) (3941g)",510.0,2.0,123.0,1.0
Chick-fil-A,drink,Gallon Cherry Berry Iced Tea (Sweet) (3941g),1760.0,0.0,442.0,0.0
Chick-fil-A,drink,Gallon Cherry Berry Iced Tea (Unsweet) (3941g),290.0,0.0,64.0,0.0
Chick-fil-A,drink,Gallon Cherry Berry Lemonade (3941g),2470.0,4.0,622.0,0.0
Chick-fil-A,drink,Gallon Cherry Berry Diet Lemonade (3941g),770.0,3.0,195.0,1.5
Chick-fil-A,drink,Gallon Beverages (3884g),2190.0,4.0,562.0,0.0
Chick-fil-A,drink,Gallon Chick-fil-A® Lemonade (3884g),2190.0,4.0,562.0,0.0
Chick-fil-A,drink,Gallon Chick-fil-A® Diet Lemonade (3716g),460.0,3.0,126.0,1.5
Chick-fil-A,drink,"Gallon Chick-fil-A® Lemonade (1/2 Lemonade, 1/2 Diet Lemonade) (3989g)",1390.0,1.0,389.0,0.5
Chick-fil-A,drink,Gallon Freshly-Brewed Iced Tea Sweetened (3996g),1510.0,0.0,391.0,0.0
Chick-fil-A,drink,Gallon Freshly-Brewed Iced Tea Unsweetened (3808g),0.0,0.0,0.0,0.0
Chick-fil-A,drink,"Gallon Chick-fil-A® Iced Tea (1/2 Sweet Tea, 1/2 Unsweet Tea) (3904g)",790.0,0.0,205.0,0.0
Chick-fil-A,drink,"Gallon Sunjoy® (1/2 Sweet Tea, 1/2 Lemonade) (4176g)",1970.0,2.0,506.0,0.0
Chick-fil-A,drink,"Gallon Sunjoy® (1/2 Sweet Tea, 1/2 Diet Lemonade) (3997g)",1030.0,1.0,270.0,1.0
Chick-fil-A,drink,"Gallon Sunjoy® (1/2 Unsweet Tea, 1/2 Lemonade) (3898g)",1170.0,2.0,301.0,0.0
Chick-fil-A,drink,"Gallon Sunjoy® (1/2 Unsweet Tea, 1/2 Diet Lemonade) (3719g)",240.0,1.0,65.0,1.0
Chick-fil-A,other,Bag of Ice (28g),0.0,0.0,0.0,0.0
Chick-fil-A,other,Ice Products (298g),0.0,0.0,0.0,0.0
Chick-fil-A,other,Medium Cup of Ice (298g),0.0,0.0,0.0,0.0
Chick-fil-A,other,Bag of Ice (28g),0.0,0.0,0.0,0.0
Chick-fil-A,other,Peach Tea Beverages (654g),160.0,0.0,42.0,0.0
